Shift = 19      Min clashes = 324       at step 1
0       29      324
1       12      0
2       13      0
3       16      0
4       8       0
5       8       0
6       11      0
7       8       0
8       8       0
9       7       0
10      3       0
11      8       0
12      7       0
13      7       0
14      10      0
15      6       0
16      9       0
17      5       0
18      6       0


Shift = 18      Min clashes = 74        at step 332
0       9       6
1       6       4
2       10      0
3       10      6
4       13      16
5       9       2
6       13      16
7       10      4
8       10      2
9       7       2
10      8       0
11      10      8
12      9       2
13      11      6
14      8       0
15      10      0
16      9       0
17      9       0
18      10      0


Shift = 17      Min clashes = 80        at step 339
0       11      0
1       9       4
2       9       0
3       13      20
4       6       0
5       7       2
6       9       0
7       9       6
8       12      0
9       12      8
10      11      14
11      6       0
12      12      6
13      10      2
14      11      0
15      7       4
16      10      8
17      7       4
18      10      2


Shift = 16      Min clashes = 94        at step 748
0       11      10
1       10      2
2       10      0
3       10      8
4       10      4
5       8       0
6       11      8
7       5       4
8       10      0
9       9       4
10      9       4
11      9       0
12      8       8
13      11      6
14      12      0
15      11      12
16      10      10
17      9       14
18      8       0


Shift = 15      Min clashes = 82        at step 889
0       9       6
1       10      4
2       8       0
3       10      2
4       10      12
5       8       0
6       8       0
7       9       0
8       12      6
9       13      4
10      13      6
11      7       4
12      10      4
13      8       6
14      10      10
15      10      6
16      8       6
17      7       0
18      11      6
